year,utility_id,utility_name,sched4part,service_type,data_type,state_code,ownership,residential_revenues,residential_sales,residential_consumers
2007,261,AGC Division of APG Inc,A,Bundle,O,IN,Investor Owned,0.00,0.00,0.00
2007,266,City of Alpha,A,Bundle,O,MN,Municipal,66.00,775.00,62.00
2007,276,Alcorn County Elec Power Assn,A,Bundle,O,MS,Cooperative,18474.00,233322.00,14407.00
2007,282,Village of Arcadia,A,Bundle,O,OH,Municipal,322.00,3002.00,252.00
2007,287,"Alder Mutual Light Co, Inc",A,Bundle,O,WA,Cooperative,231.00,3548.00,252.00
2007,289,City of Alexander City,A,Bundle,O,AL,Municipal,5555.00,71515.00,5105.00
2007,295,City of Alexandria,A,Bundle,O,MN,Municipal,5316.00,72518.00,7450.00
2007,296,"Alfalfa Electric Coop, Inc",A,Bundle,O,KS,Cooperative,412.00,4145.00,230.00
2007,296,"Alfalfa Electric Coop, Inc",A,Bundle,O,OK,Cooperative,4330.00,42896.00,2644.00
2007,298,City of Alexandria,A,Bundle,O,LA,Municipal,12548.00,290521.00,19581.00
2007,305,Alger-Delta Coop Electric Assn,A,Bundle,O,MI,Cooperative,8072.00,48343.00,9479.00
2007,306,Alcoa Power Generating Inc Tapoco Div,A,Bundle,O,TN,Unregulated,0.00,0.00,0.00
2007,307,Algoma Utility Comm,A,Bundle,O,WI,Municipal,1100.00,11808.00,1644.00
2007,308,City of Acworth,A,Bundle,O,GA,Municipal,6644.00,63069.00,6381.00
2007,309,City of Algona,A,Bundle,O,IA,Municipal,2161.00,31938.00,3008.00
2007,329,"Allamakee-Clayton El Coop, Inc",A,Bundle,O,IA,Cooperative,12137.00,111972.00,8995.00
2007,366,City of Allendale,A,Bundle,O,IL,Municipal,204.00,2590.00,240.00
2007,367,City of Alliance,A,Bundle,O,NE,Municipal,2691.00,39669.00,4109.00
2007,385,City of Alma,A,Bundle,O,KS,Municipal,314.00,3406.00,370.00
2007,392,Alpena Power Co,A,Bundle,O,MI,Investor Owned,9327.00,89611.00,13685.00
2007,405,City of Alta,A,Bundle,O,IA,Municipal,710.00,9560.00,814.00
2007,406,Altamont City of,A,Bundle,O,IL,Municipal,948.00,10934.00,1384.00
2007,407,Altamaha Electric Member Corp,A,Bundle,O,GA,Cooperative,23735.00,247865.00,17694.00
2007,408,City of Altamont,A,Bundle,O,KS,Municipal,783.00,9000.00,553.00
2007,416,City of Altus,A,Bundle,O,OK,Municipal,7987.00,82649.00,7549.00
2007,432,City of Alta Vista,A,Bundle,O,IA,Municipal,106.00,1247.00,197.00
2007,471,Amana Society Service Co,A,Bundle,O,IA,Investor Owned,849.00,7619.00,702.00
2007,482,City of Alvarado,A,Bundle,O,MN,Municipal,188.00,2301.00,184.00
2007,540,BP Energy Company,B,Energy,O,ME,Retail Power Marketer,0.00,0.00,0.00
2007,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,0.00,0.00,0.00
2007,540,BP Energy Company,D,Bundle,O,TX,Retail Power Marketer,0.00,0.00,0.00
2007,554,Ames City of,A,Bundle,O,IA,Municipal,14393.00,163939.00,21636.00
2007,560,City of Amherst,A,Bundle,O,OH,Municipal,5488.00,68959.00,5234.00
2007,562,Amicalola Electric Member Corp,A,Bundle,O,GA,Cooperative,55242.00,570468.00,40570.00
2007,571,City of Amory,A,Bundle,O,MS,Municipal,3577.00,43597.00,3078.00
2007,577,City of Alcoa Utilities,A,Bundle,O,TN,Municipal,29394.00,384875.00,23496.00
2007,588,Anadarko Public Works Auth,A,Bundle,O,OK,Municipal,2264.00,20739.00,2220.00
2007,590,City of Anaheim,A,Bundle,O,CA,Municipal,62567.00,616647.00,94698.00
2007,599,Anchorage Municipality of,A,Bundle,O,AK,Municipal,13945.00,147246.00,24044.00
2007,604,City of Andalusia,A,Bundle,O,AL,Municipal,5040.00,45802.00,3664.00
2007,636,City of Anderson,A,Bundle,O,IN,Municipal,26470.00,339873.00,31980.00
2007,653,Andreanof Electric Corp,A,Bundle,O,AK,Investor Owned,36.00,65.00,27.00
2007,661,Village of Andover,A,Bundle,O,NY,Municipal,280.00,5254.00,507.00
2007,669,Village of Angelica,A,Bundle,O,NY,Municipal,358.00,6197.00,630.00
2007,682,City of Anita,A,Bundle,O,IA,Municipal,414.00,5215.00,501.00
2007,689,Anoka Electric Coop,A,Bundle,O,MN,Cooperative,110940.00,1220092.00,111930.00
2007,690,City of Bardstown,A,Bundle,O,KY,Municipal,2936.00,48003.00,3213.00
2007,691,City of Anoka,A,Bundle,O,MN,Municipal,8167.00,79634.00,10434.00
2007,694,Anza Electric Coop Inc,A,Bundle,O,CA,Cooperative,5678.00,34891.00,4144.00
2007,695,City of Ansley,A,Bundle,O,NE,Municipal,205.00,2532.00,263.00
2007,700,City of Anthon,A,Bundle,O,IA,Municipal,206.00,4158.00,311.00
2007,701,City of Anthony,A,Bundle,O,KS,Municipal,1265.00,11866.00,1286.00
2007,708,APS Energy Services,B,Energy,O,CA,Retail Power Marketer,0.00,0.00,0.00
2007,719,Town of Apex,A,Bundle,O,NC,Municipal,15477.00,148652.00,11868.00
2007,723,City of Aplington,A,Bundle,O,IA,Municipal,370.00,4449.00,480.00
2007,727,Appalachian Electric Coop,A,Bundle,O,TN,Cooperative,50426.00,638887.00,38172.00
2007,733,Appalachian Power Co,A,Bundle,O,VA,Investor Owned,428586.00,6537218.00,440527.00
2007,733,Appalachian Power Co,A,Bundle,O,WV,Investor Owned,359124.00,5839210.00,370462.00
2007,737,Aguila Irrigation District,A,Bundle,O,AZ,Political Subdivision,,,
2007,745,Applied Energy Inc,A,Bundle,O,CA,Unregulated,0.00,0.00,0.00
2007,750,Arab Electric Coop Inc,A,Bundle,O,AL,Cooperative,16615.00,204984.00,12188.00
2007,752,City of Arapahoe,A,Bundle,O,NE,Municipal,527.00,5669.00,525.00
2007,764,City of Arcadia,A,Bundle,O,KS,Municipal,178.00,1504.00,173.00
2007,765,Arcadia City of,A,Bundle,O,WI,Municipal,750.00,10366.00,1143.00
2007,768,Arcanum City of,A,Bundle,O,OH,Municipal,1315.00,16554.00,1424.00
2007,789,Town of Argos,A,Bundle,O,IN,Municipal,584.00,6464.00,737.00
2007,792,City of Argyle,A,Bundle,O,WI,Municipal,285.00,4111.00,394.00
2007,803,Arizona Public Service Co,A,Bundle,O,AZ,Investor Owned,1418315.00,13771481.00,979138.00
2007,814,Entergy Arkansas Inc,A,Bundle,O,AR,Investor Owned,689878.00,7725423.00,576872.00
2007,814,Entergy Arkansas Inc,A,Bundle,O,TN,Investor Owned,7.00,70.00,12.00
2007,817,Arkansas Valley Elec Coop Corp,A,Bundle,O,AR,Cooperative,60110.00,707892.00,47921.00
2007,817,Arkansas Valley Elec Coop Corp,A,Bundle,O,OK,Cooperative,4170.00,54925.00,3885.00
2007,828,City of Arlington,A,Bundle,O,MN,Municipal,653.00,8261.00,972.00
2007,831,City of Arlington,A,Bundle,O,SD,Municipal,369.00,4924.00,456.00
2007,832,City of Arma,A,Bundle,O,KS,Municipal,747.00,6495.00,768.00
2007,838,Avista Energy Inc,B,Energy,O,NV,Retail Power Marketer,0.00,0.00,0.00
2007,838,Avista Energy Inc,B,Energy,O,WA,Retail Power Marketer,,,
2007,856,AEP Texas Commercial & Ind,D,Bundle,O,TX,Retail Power Marketer,0.00,0.00,0.00
2007,867,ARCO Products Co-Watson,A,Bundle,O,CA,Unregulated,0.00,0.00,0.00
2007,871,Village of Arnold,A,Bundle,O,NE,Municipal,295.00,4131.00,355.00
2007,878,Atmautluak Tribal Utilities,A,Bundle,O,AK,Municipal,160.00,275.00,67.00
2007,887,"Arrowhead Electric Coop, Inc",A,Bundle,O,MN,Cooperative,4190.00,40906.00,3596.00
2007,902,Town of Ashburnham,A,Bundle,O,MA,Municipal,3075.00,20612.00,2781.00
2007,906,Town of Ashland,A,Bundle,O,NH,Municipal,1085.00,9727.00,1255.00
2007,907,City of Ashland,A,Bundle,O,OR,Municipal,6269.00,91297.00,9423.00
2007,911,City of Ashland,A,Bundle,O,KS,Municipal,513.00,4615.00,568.00
2007,918,City of Aspen,A,Bundle,O,CO,Municipal,1930.00,24286.00,1964.00
2007,925,"Ashley Chicot Elec Coop, Inc",A,Bundle,O,AR,Cooperative,5622.00,53968.00,4150.00
2007,925,"Ashley Chicot Elec Coop, Inc",A,Bundle,O,LA,Cooperative,180.00,1762.00,126.00
2007,942,Atchison-Holt Electric Coop,A,Bundle,O,IA,Cooperative,1045.00,10709.00,1057.00
2007,942,Atchison-Holt Electric Coop,A,Bundle,O,MO,Cooperative,2439.00,24989.00,2465.00
2007,944,City of Athens,A,Bundle,O,AL,Municipal,43504.00,581769.00,32553.00
2007,947,Athens Utility Board,A,Bundle,O,TN,Municipal,13200.00,167270.00,10915.00
2007,963,Atlantic City Electric Co,A,Bundle,O,NJ,Investor Owned,662757.00,4519536.00,477429.00
2007,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,0.00,0.00,0.00
2007,965,Atlantic Municipal Utilities,A,Bundle,O,IA,Municipal,2299.00,40123.00,3797.00
2007,970,Ameren Energy Marketing Co,B,Energy,O,IL,Retail Power Marketer,0.00,0.00,0.00
2007,980,Air Products LP,A,Bundle,O,TX,Unregulated,0.00,0.00,0.00
2007,989,City of Attica,A,Bundle,O,KS,Municipal,442.00,4375.00,370.00
2007,991,Air Products & Chemicals Inc,A,Bundle,O,KY,Unregulated,0.00,0.00,0.00
2007,993,Auburn Board of Public Works,A,Bundle,O,NE,Municipal,1594.00,28125.00,2249.00
2007,994,City of Auburn,A,Bundle,O,IN,Municipal,3121.00,65074.00,5204.00
2007,995,City of Auburn,A,Bundle,O,IA,Municipal,185.00,1827.00,172.00
2007,998,City of Augusta,A,Bundle,O,KS,Municipal,3682.00,39419.00,3825.00
2007,1000,City of Augusta,A,Bundle,O,AR,Municipal,846.00,6717.00,860.00
2007,1002,City of Aurelia,A,Bundle,O,IA,Municipal,304.00,4800.00,445.00
2007,1004,City of Aurora,A,Bundle,O,SD,Municipal,213.00,2619.00,237.00
2007,1009,Austin City of,A,Bundle,O,MN,Municipal,8482.00,81701.00,10628.00
2007,1015,Austin Energy,A,Bundle,O,TX,Municipal,361240.00,3959443.00,346752.00
2007,1024,Ava City of,A,Bundle,O,MO,Municipal,960.00,12673.00,1264.00
2007,1028,Town of Avilla,A,Bundle,O,IN,Municipal,615.00,8670.00,967.00
2007,1033,City of Axtell,A,Bundle,O,KS,Municipal,139.00,1987.00,194.00
2007,1036,Town of Ayden,A,Bundle,O,NC,Municipal,5395.00,45954.00,4160.00
2007,1046,Aztec City of,A,Bundle,O,NM,Municipal,2211.00,16145.00,2592.00
2007,1050,City of Azusa,A,Bundle,O,CA,Municipal,9202.00,79129.00,13843.00
2007,1062,BARC Electric Coop Inc,A,Bundle,O,VA,Cooperative,15799.00,122397.00,11903.00
2007,1080,City of Badger,A,Bundle,O,SD,Municipal,81.00,1302.00,91.00
2007,1101,Bagley Public Utilities Comm,A,Bundle,O,MN,Municipal,485.00,7752.00,555.00
2007,1119,Town of Bainbridge,A,Bundle,O,IN,Municipal,223.00,3594.00,335.00
2007,1148,City of Baldwin City,A,Bundle,O,KS,Municipal,1900.00,15643.00,1577.00
2007,1149,Baldwin County El Member Corp,A,Bundle,O,AL,Cooperative,81022.00,825968.00,57869.00
2007,1167,Baltimore Gas & Electric Co,A,Bundle,O,MD,Investor Owned,1511357.00,13024401.00,1073714.00
2007,1167,Baltimore Gas & Electric Co,C,Delivery,O,MD,Investor Owned,3566.00,340214.00,25941.00
2007,1169,Bailey County Elec Coop Assn,A,Bundle,O,TX,Cooperative,3040.00,23099.00,2460.00
2007,1170,Bamberg Board of Public Works,A,Bundle,O,SC,Municipal,1614.00,20710.00,1485.00
2007,1172,Bancroft Municipal Utilities,A,Bundle,O,IA,Municipal,276.00,3000.00,347.00
2007,1175,"Bandera Electric Coop, Inc",A,Bundle,O,TX,Cooperative,35815.00,370512.00,26718.00
2007,1176,City of Bandon,A,Bundle,O,OR,Municipal,2444.00,34436.00,2719.00
2007,1179,Bangor Hydro-Electric Co,C,Delivery,O,ME,Investor Owned,49624.00,593895.00,99940.00
2007,1181,Bangor City of,A,Bundle,O,WI,Municipal,1166.00,11600.00,1366.00
2007,1192,Banning City of,A,Bundle,O,CA,Municipal,10580.00,71868.00,10861.00
2007,1196,Village of Baraga,A,Bundle,O,MI,Municipal,298.00,3000.00,619.00
2007,1201,Barbourville Utility Comm,A,Bundle,O,KY,Municipal,2953.00,46755.00,3449.00
2007,1205,City of Bardwell,A,Bundle,O,KY,Municipal,342.00,4698.00,444.00
2007,1208,Town of Bargersville,A,Bundle,O,IN,Municipal,2708.00,34931.00,2734.00
2007,1232,City of Barnesville,A,Bundle,O,GA,Municipal,2819.00,24375.00,2542.00
2007,1233,City of Barnesville,A,Bundle,O,MN,Municipal,1129.00,14693.00,1056.00
2007,1251,Barron Electric Coop,A,Bundle,O,WI,Cooperative,20582.00,193076.00,17241.00
2007,1273,"Bartlett Electric Coop, Inc",A,Bundle,O,TX,Cooperative,14815.00,130141.00,8879.00
2007,1276,"Barrow Utils & Elec Coop, Inc",A,Bundle,O,AK,Cooperative,1260.00,10316.00,1425.00
2007,1278,City of Barron,A,Bundle,O,WI,Municipal,1169.00,14106.00,1456.00
2007,1279,Barry Electric Coop,A,Bundle,O,MO,Cooperative,8814.00,123203.00,8474.00
2007,1283,Bartholomew County Rural E M C,A,Bundle,O,IN,Cooperative,13708.00,157663.00,10200.00
2007,1287,City of Bartlett,A,Bundle,O,TX,Municipal,871.00,6048.00,619.00
2007,1299,"Barton Village, Inc",A,Bundle,O,VT,Municipal,1554.00,10870.00,1952.00
2007,1300,Bartow City of,A,Bundle,O,FL,Municipal,15925.00,135006.00,9958.00
2007,1301,"Barton County Elec Coop, Inc",A,Bundle,O,MO,Cooperative,9040.00,78629.00,5084.00
2007,1307,Basin Electric Power Coop,A,Bundle,O,ND,Cooperative,0.00,0.00,0.00
2007,1307,Basin Electric Power Coop,A,Bundle,O,SD,Cooperative,0.00,0.00,0.00
2007,1324,City of Bastrop,A,Bundle,O,TX,Municipal,2369.00,21883.00,1749.00
2007,1325,City of Batavia,A,Bundle,O,IL,Municipal,8950.00,100710.00,9485.00
2007,1326,Village of Bartley,A,Bundle,O,NE,Municipal,130.00,1459.00,176.00
2007,1343,Bath Electric Gas & Water Sys,A,Bundle,O,NY,Municipal,2167.00,45878.00,3838.00
2007,1346,City of Battle Creek,A,Bundle,O,NE,Municipal,497.00,6192.00,458.00
2007,1353,City of Baudette,A,Bundle,O,MN,Municipal,400.00,4846.00,572.00
2007,1366,City of Bay City,A,Bundle,O,MI,Municipal,11982.00,128864.00,17829.00
2007,1367,"Bayfield Electric Coop, Inc",A,Bundle,O,MI,Cooperative,32.00,179.00,56.00
2007,1367,"Bayfield Electric Coop, Inc",A,Bundle,O,WI,Cooperative,8853.00,68699.00,8486.00
2007,1374,City of Bayard,A,Bundle,O,NE,Municipal,435.00,4952.00,517.00
2007,1386,Village of Beach City,A,Bundle,O,OH,Municipal,705.00,7324.00,772.00
2007,1387,City of Benham,A,Bundle,O,KY,Municipal,379.00,5321.00,313.00
2007,1417,"Beartooth Electric Coop, Inc",A,Bundle,O,MT,Cooperative,5163.00,48822.00,4774.00
2007,1417,"Beartooth Electric Coop, Inc",A,Bundle,O,WY,Cooperative,360.00,4414.00,334.00
2007,1427,Beatrice City of,A,Bundle,O,NE,Municipal,4776.00,69309.00,5957.00
2007,1434,Beaver City Corporation,A,Bundle,O,UT,Municipal,722.00,9232.00,1147.00
2007,1435,City of Beaver City,A,Bundle,O,NE,Municipal,374.00,5532.00,348.00
2007,1456,City of Bedford,A,Bundle,O,VA,Municipal,7822.00,86403.00,5936.00
2007,1458,"Beauregard Electric Coop, Inc",A,Bundle,O,LA,Cooperative,45124.00,568487.00,35357.00
2007,1494,Belhaven Town of,A,Bundle,O,NC,Municipal,1231.00,9151.00,957.00
2007,1512,City of Belleville,A,Bundle,O,KS,Municipal,1008.00,8713.00,1110.00
2007,1513,"Belfalls Electric Coop, Inc",A,Bundle,O,TX,Cooperative,2913.00,25117.00,3959.00
2007,1515,City of Bellevue,A,Bundle,O,IA,Municipal,896.00,10120.00,1328.00
2007,1519,Bellville City of,A,Bundle,O,TX,Municipal,2450.00,24354.00,1923.00
2007,1522,Village of Belmont,A,Bundle,O,WI,Municipal,305.00,3831.00,535.00
2007,1523,Town of Belmont,A,Bundle,O,MA,Municipal,9336.00,77350.00,10087.00
2007,1525,City of Beloit,A,Bundle,O,KS,Municipal,1481.00,17015.00,1797.00
2007,1529,"Beltrami Electric Coop, Inc",A,Bundle,O,MN,Cooperative,21873.00,295141.00,18209.00
2007,1554,City of Benkelman,A,Bundle,O,NE,Municipal,405.00,5160.00,530.00
2007,1566,City of Bennettsville,A,Bundle,O,SC,Municipal,5547.00,55649.00,4199.00
2007,1571,Benson Town of,A,Bundle,O,NC,Municipal,1942.00,16099.00,1371.00
2007,1573,City of Benson,A,Bundle,O,MN,Municipal,1118.00,15490.00,1531.00
2007,1578,Benton County,A,Bundle,O,TN,Municipal,10737.00,125375.00,8599.00
2007,1579,PUD No 1 of Benton County,A,Bundle,O,WA,Political Subdivision,42765.00,644392.00,37969.00
2007,1581,Benton City of,A,Bundle,O,AR,Municipal,13280.00,125571.00,10487.00
2007,1582,City of Benton,A,Bundle,O,KY,Municipal,2383.00,26886.00,1839.00
2007,1585,Village of Benton,A,Bundle,O,WI,Municipal,322.00,3642.00,486.00
2007,1586,City of Bentonville,A,Bundle,O,AR,Municipal,9557.00,155349.00,13346.00
2007,1591,"Big Country Electric Coop, Inc",A,Bundle,O,TX,Cooperative,8430.00,63580.00,7751.00
2007,1601,City of Beresford,A,Bundle,O,SD,Municipal,855.00,9696.00,886.00
2007,1604,Village of Bergen,A,Bundle,O,NY,Municipal,585.00,7580.00,572.00
2007,1611,BOC Energy Services,B,Energy,O,DE,Retail Power Marketer,0.00,0.00,0.00
2007,1611,BOC Energy Services,B,Energy,O,IL,Retail Power Marketer,0.00,0.00,0.00
2007,1611,BOC Energy Services,B,Energy,O,ME,Retail Power Marketer,0.00,0.00,0.00
2007,1611,BOC Energy Services,B,Energy,O,NJ,Retail Power Marketer,0.00,0.00,0.00
2007,1611,BOC Energy Services,B,Energy,O,PA,Retail Power Marketer,0.00,0.00,0.00
2007,1613,Berkeley Electric Coop Inc,A,Bundle,O,SC,Cooperative,108597.00,1151117.00,69139.00
2007,1615,Berlin Town of,A,Bundle,O,MD,Municipal,3481.00,24141.00,1929.00
2007,1618,Borough of Berlin,A,Bundle,O,PA,Municipal,669.00,9571.00,1036.00
2007,1625,Benton Rural Electric Assn,A,Bundle,O,WA,Cooperative,15366.00,210770.00,10986.00
2007,1640,City of Bessemer Utilities,A,Bundle,O,AL,Municipal,11328.00,134019.00,10052.00
2007,1647,City of Bethany,A,Bundle,O,MO,Municipal,1471.00,13807.00,1455.00
2007,1648,Village of Bethany,A,Bundle,O,IL,Municipal,500.00,5941.00,631.00
2007,1650,Village of Bethel,A,Bundle,O,OH,Municipal,1518.00,15496.00,1362.00
2007,1651,Bethel Utilities Corp,A,Bundle,O,AK,Investor Owned,4112.00,10042.00,1561.00
2007,1671,Big Flat Electric Coop Inc,A,Bundle,O,MT,Cooperative,1571.00,16277.00,1487.00
2007,1675,Big Horn Rural Electric Co,A,Bundle,O,MT,Cooperative,34.00,318.00,33.00
2007,1675,Big Horn Rural Electric Co,A,Bundle,O,WY,Cooperative,2861.00,26397.00,2712.00
2007,1677,Village of Bloomdale,A,Bundle,O,OH,Municipal,265.00,2634.00,290.00
2007,1683,"Big Horn County Elec Coop, Inc",A,Bundle,O,MT,Cooperative,2959.00,35333.00,3027.00
2007,1683,"Big Horn County Elec Coop, Inc",A,Bundle,O,WY,Cooperative,288.00,3547.00,259.00
2007,1698,City of Big Stone City,A,Bundle,O,SD,Municipal,243.00,3765.00,340.00
2007,1702,City of Biggs,A,Bundle,O,CA,Municipal,639.00,4621.00,614.00
2007,1708,Big Sandy Rural Elec Coop Corp,A,Bundle,O,KY,Cooperative,15853.00,191049.00,12019.00
2007,1723,"Big Bend Electric Coop, Inc",A,Bundle,O,WA,Cooperative,5513.00,95346.00,4315.00
2007,1726,City of Blue Mound,A,Bundle,O,KS,Municipal,232.00,2012.00,164.00
2007,1736,Blachly-Lane Cnty Coop El Assn,A,Bundle,O,OR,Cooperative,4768.00,53363.00,3185.00
2007,1738,Bonneville Power Admin,A,Bundle,O,OR,Federal,0.00,0.00,0.00
2007,1738,Bonneville Power Admin,A,Bundle,O,WA,Federal,0.00,0.00,0.00
2007,1747,Birch Creek Village Elec Util,A,Bundle,O,AK,Municipal,39.00,65.00,17.00
2007,1753,City of Biwabik,A,Bundle,O,MN,Municipal,272.00,3875.00,593.00
2007,1763,"Black River Electric Coop, Inc",A,Bundle,O,SC,Cooperative,41624.00,456031.00,26250.00
2007,1764,Black Diamond Power Company,A,Bundle,O,WV,Investor Owned,1146.00,17378.00,1399.00
2007,1765,Village of Black Earth,A,Bundle,O,WI,Municipal,958.00,9421.00,1045.00
2007,1769,"Black Hills Electric Coop, Inc",A,Bundle,O,SD,Cooperative,8009.00,106296.00,7698.00
2007,1775,Black River Electric Coop,A,Bundle,O,MO,Cooperative,20873.00,296876.00,20514.00
2007,1776,City of Black River Falls,A,Bundle,O,WI,Municipal,1743.00,21084.00,2170.00
2007,1779,Town of Basin,A,Bundle,O,WY,Municipal,422.00,4985.00,533.00
2007,1780,Black Warrior Elec Member Corp,A,Bundle,O,AL,Cooperative,27330.00,292486.00,22528.00
2007,1795,Town of Blackstone,A,Bundle,O,VA,Municipal,1621.00,19106.00,1681.00
2007,1800,City of Blackwell,A,Bundle,O,OK,Municipal,3595.00,31175.00,3256.00
2007,1818,City of Blaine,A,Bundle,O,WA,Municipal,1616.00,23927.00,2368.00
2007,1823,Borough of Blakely,A,Bundle,O,PA,Municipal,3014.00,20196.00,3009.00
2007,1824,City of Bigelow,A,Bundle,O,IA,Municipal,0.00,0.00,0.00
2007,1824,City of Bigelow,A,Bundle,O,MN,Municipal,55.00,852.00,100.00
2007,1826,City of Blakely,A,Bundle,O,GA,Municipal,3006.00,32871.00,2108.00
2007,1832,Village of Blanchester,A,Bundle,O,OH,Municipal,2918.00,32510.00,1978.00
2007,1839,City of Blanding,A,Bundle,O,UT,Municipal,990.00,11900.00,1352.00
2007,1857,Block Island Power Co,A,Bundle,O,RI,Investor Owned,1696.00,4227.00,1300.00
2007,1866,Bloomer Electric & Water Co,A,Bundle,O,WI,Municipal,1292.00,17097.00,1575.00
2007,1869,Bloomfield City of,A,Bundle,O,IA,Municipal,940.00,12951.00,1169.00
2007,1871,City of Blooming Prairie,A,Bundle,O,MN,Municipal,613.00,6784.00,839.00
2007,1876,City of Blountstown,A,Bundle,O,FL,Municipal,1257.00,12308.00,1021.00
2007,1883,City of Blue Earth,A,Bundle,O,MN,Municipal,1345.00,14007.00,1674.00
2007,1884,Blue Earth-Nicollet-Faribault,A,Bundle,O,MN,Cooperative,16133.00,173007.00,12782.00
2007,1886,Blue Grass Energy Coop Corp,A,Bundle,O,KY,Cooperative,68578.00,816735.00,52400.00
2007,1889,Blue Ridge Elec Member Corp,A,Bundle,O,NC,Cooperative,70848.00,617010.00,60672.00
2007,1890,Blue Ridge Electric Coop Inc,A,Bundle,O,SC,Cooperative,76292.00,745089.00,57268.00
2007,1891,Blue Ridge Mountain E M C,A,Bundle,O,GA,Cooperative,22920.00,250061.00,23568.00
2007,1891,Blue Ridge Mountain E M C,A,Bundle,O,NC,Cooperative,13066.00,138413.00,12500.00
2007,1892,"Bluebonnet Electric Coop, Inc",A,Bundle,O,TX,Cooperative,97094.00,988885.00,66792.00
2007,1896,City of Bluffton,A,Bundle,O,IN,Municipal,3859.00,51191.00,4732.00
2007,1898,"Bon Homme Yankton El Assn, Inc",A,Bundle,O,SD,Cooperative,4197.00,50652.00,3040.00
2007,1913,City of Boerne,A,Bundle,O,TX,Municipal,3889.00,48073.00,3304.00
